TTB Table No. 6:  SHOWING RESPECTIVE VOLUMES OF ALCOHOL AND WATER AND THE SPECIFIC GRAVITY IN BOTH AIR AND VACUUM OF SPIRITUOUS LIQUOR,,,,,,,,,
,,,,,,,,,
"Digitized, proofread, and edited by Max Oppedahl and Greg Miller.   Please report errors/problems to grgmiller@ucdavis.edu.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Proof,Alcohol,Water,"Specific
gravity
in air","Specific
gravity in
vacuum",,,,,
61,30.50,72.26,0.96471,0.96476,,,,,
62,31.00,71.81,0.96413,0.96418,,,,,
63,31.50,71.35,0.96353,0.96358,,,,,
64,32.00,70.89,0.96291,0.96296,,,,,
65,32.50,70.43,0.96229,0.96234,,,,,
66,33.00,69.97,0.96165,0.96170,,,,,
67,33.50,69.51,0.96101,0.96106,,,,,
68,34.00,69.05,0.96036,0.96041,,,,,
69,34.50,68.59,0.95970,0.95975,,,,,
70,35.00,68.12,0.95903,0.95908,,,,,
71,35.50,67.66,0.95835,0.95840,,,,,
72,36.00,67.19,0.95765,0.95770,,,,,
73,36.50,66.72,0.95695,0.95700,,,,,
74,37.00,66.25,0.95623,0.95628,,,,,
75,37.50,65.78,0.95551,0.95556,,,,,
76,38.00,65.31,0.95476,0.95482,,,,,
77,38.50,64.84,0.95402,0.95408,,,,,
78,39.00,64.37,0.95326,0.95332,,,,,
79,39.50,63.90,0.95250,0.95256,,,,,
80,40.00,63.42,0.95172,0.95178,,,,,
81,40.50,62.95,0.95094,0.95100,,,,,
82,41.00,62.47,0.95014,0.95020,,,,,
83,41.50,61.99,0.94934,0.94940,,,,,
84,42.00,61.52,0.94852,0.94858,,,,,
85,42.50,61.04,0.94770,0.94776,,,,,
86,43.00,60.56,0.94687,0.94693,,,,,
87,43.50,60.08,0.94603,0.94609,,,,,
88,44.00,59.59,0.94518,0.94524,,,,,
89,44.50,59.11,0.94431,0.94438,,,,,
90,45.00,58.63,0.94344,0.94351,,,,,
91,45.50,58.14,0.94256,0.94263,,,,,
92,46.00,57.66,0.94167,0.94174,,,,,
93,46.50,57.17,0.94077,0.94084,,,,,
94,47.00,56.68,0.93986,0.93993,,,,,
95,47.50,56.19,0.93894,0.93901,,,,,
96,48.00,55.70,0.93801,0.93808,,,,,
97,48.50,55.21,0.93707,0.93714,,,,,
98,49.00,54.72,0.93612,0.93619,,,,,
99,49.50,54.22,0.93516,0.93523,,,,,
100,50.00,53.73,0.93418,0.93426,,,,,
101,50.50,53.24,0.93320,0.93328,,,,,
102,51.00,52.74,0.93222,0.93230,,,,,
103,51.50,52.25,0.93123,0.93131,,,,,
104,52.00,51.75,0.93023,0.93031,,,,,
105,52.50,51.25,0.92923,0.92931,,,,,
106,53.00,50.75,0.92822,0.92830,,,,,
107,53.50,50.26,0.92720,0.92728,,,,,
108,54.00,49.76,0.92618,0.92626,,,,,
109,54.50,49.26,0.92515,0.92523,,,,,
110,55.00,48.76,0.92409,0.92419,,,,,
111,55.50,48.25,0.92305,0.92315,,,,,
112,56.00,47.75,0.92200,0.92210,,,,,
113,56.50,47.25,0.92095,0.92105,,,,,
114,57.00,46.75,0.91989,0.91999,,,,,
115,57.50,46.24,0.91882,0.91892,,,,,
116,58.00,45.74,0.91774,0.91784,,,,,
117,58.50,45.23,0.91665,0.91675,,,,,
118,59.00,44.72,0.91555,0.91565,,,,,
119,59.50,44.22,0.91444,0.91455,,,,,
120,60.00,43.71,0.91333,0.91344,,,,,
121,60.50,43.20,0.91221,0.91232,,,,,
122,61.00,42.69,0.91109,0.91120,,,,,
123,61.50,42.18,0.90996,0.91007,,,,,
124,62.00,41.67,0.90882,0.90893,,,,,
125,62.50,41.16,0.90768,0.90779,,,,,
126,63.00,40.65,0.90653,0.90664,,,,,
127,63.50,40.14,0.90538,0.90549,,,,,
128,64.00,39.62,0.90422,0.90434,,,,,
129,64.50,39.11,0.90306,0.90318,,,,,
130,65.00,38.60,0.90190,0.90202,,,,,
131,65.50,38.08,0.90073,0.90085,,,,,
132,66.00,37.57,0.89955,0.89967,,,,,
133,66.50,37.05,0.89836,0.89848,,,,,
134,67.00,36.54,0.89717,0.89729,,,,,
135,67.50,36.02,0.89597,0.89609,,,,,
136,68.00,35.50,0.89476,0.89489,,,,,
137,68.50,34.99,0.89355,0.89368,,,,,
138,69.00,34.47,0.89232,0.89245,,,,,
139,69.50,33.95,0.89109,0.89122,,,,,
140,70.00,33.43,0.88986,0.88999,,,,,
141,70.50,32.91,0.88862,0.88875,,,,,
142,71.00,32.38,0.88738,0.88751,,,,,
143,71.50,31.86,0.88612,0.88625,,,,,
144,72.00,31.34,0.88485,0.88499,,,,,
145,72.50,30.82,0.88358,0.88372,,,,,
146,73.00,30.29,0.88230,0.88244,,,,,
147,73.50,29.76,0.88102,0.88116,,,,,
148,74.00,29.24,0.87973,0.87987,,,,,
149,74.50,28.71,0.87844,0.87858,,,,,
150,75.00,28.19,0.87714,0.87728,,,,,
151,75.50,27.66,0.87583,0.87597,,,,,
152,76.00,27.13,0.87450,0.87465,,,,,
153,76.50,26.60,0.87317,0.87332,,,,,
154,77.00,26.07,0.87184,0.87199,,,,,
155,77.50,25.54,0.87050,0.87065,,,,,
156,78.00,25.01,0.86914,0.86929,,,,,
157,78.50,24.47,0.86778,0.86793,,,,,
158,79.00,23.94,0.86641,0.86656,,,,,
159,79.50,23.40,0.86503,0.86518,,,,,
160,80.00,22.87,0.86364,0.86380,,,,,
161,80.50,22.33,0.86225,0.86241,,,,,
162,81.00,21.80,0.86084,0.86100,,,,,
163,81.50,21.26,0.85943,0.85959,,,,,
164,82.00,20.72,0.85801,0.85817,,,,,
165,82.50,20.18,0.85658,0.85674,,,,,
166,83.00,19.64,0.85515,0.85531,,,,,
167,83.50,19.10,0.85369,0.85386,,,,,
168,84.00,18.55,0.85223,0.85240,,,,,
169,84.50,18.01,0.85076,0.85093,,,,,
170,85.00,17.46,0.84927,0.84944,,,,,
171,85.50,16.92,0.84777,0.84794,,,,,
172,86.00,16.37,0.84625,0.84642,,,,,
173,86.50,15.82,0.84471,0.84490,,,,,
174,87.00,15.27,0.84317,0.84336,,,,,
175,87.50,14.72,0.84162,0.84181,,,,,
176,88.00,14.16,0.84006,0.84025,,,,,
177,88.50,13.61,0.83848,0.83867,,,,,
178,89.00,13.05,0.83688,0.83707,,,,,
179,89.50,12.49,0.83526,0.83545,,,,,
180,90.00,11.93,0.83362,0.83382,,,,,
181,90.50,11.37,0.83196,0.83216,,,,,
182,91.00,10.80,0.83029,0.83049,,,,,
183,91.50,10.24,0.82859,0.82879,,,,,
184,92.00,9.67,0.82685,0.82705,,,,,
185,92.50,9.09,0.82509,0.82529,,,,,
186,93.00,8.52,0.82330,0.82351,,,,,
187,93.50,7.94,0.82149,0.82170,,,,,
188,94.00,7.36,0.81963,0.81984,,,,,
189,94.50,6.77,0.81775,0.81796,,,,,
190,95.00,6.18,0.81582,0.81603,,,,,
191,95.50,5.59,0.81385,0.81407,,,,,
192,96.00,4.99,0.81184,0.81206,,,,,
193,96.50,4.39,0.80979,0.81001,,,,,
194,97.00,3.78,0.80770,0.80792,,,,,
195,97.50,3.17,0.80555,0.80577,,,,,
196,98.00,2.55,0.80333,0.80356,,,,,
197,98.50,1.93,0.80104,0.80127,,,,,
198,99.00,1.29,0.79866,0.79889,,,,,
199,99.50,0.65,0.79620,0.79643,,,,,
200,100.00,0.00,0.79365,0.79389,,,,,
